시설이름,시설종류,주소,경도,위도,지정범위기준
서울특별시교육청 직장어린이집,어린이집,서울특별시 용산구 두텁바위로 37,126.975716,37.54623584,50m
데시앙아띠어린이집,어린이집,서울특별시 용산구 효창원로 227 106동 1층,126.9629057,37.54752995,50m
원효루미니어린이집,어린이집,서울특별시 용산구 원효로97길 15 1층,126.969381,37.54145907,50m
서머힐어린이집,어린이집,"서울특별시 용산구 장문로 27 상가동, 102호 (이태원동, 청화아파트)",126.9936736,37.52910835,50m
삼각지어린이집,어린이집,"서울특별시 용산구 백범로99길 40 1,2층",126.9716462,37.53582388,50m
큰나래어린이집,어린이집,"서울특별시 용산구 서빙고로 17 102동 1,2,3층",126.9678958,37.5252553,50m
국립중앙박물관 해누림 어린이집,어린이집,서울특별시 용산구 서빙고로 137 국립중앙박물관,126.9776012,37.52349496,50m
목멱어린이집,어린이집,서울특별시 용산구 회나무로12나길 10,126.9909255,37.53904801,50m
용산소방서직장어린이집,어린이집,서울특별시 용산구 한강대로 167 용산소방서,126.971579,37.53408944,50m
용산캐슬어린이집,어린이집,"서울특별시 용산구 백범로 313 키즈클럽(효창동,롯데캐슬센터포레)",126.9630736,37.53981745,50m
해늘어린이집,어린이집,"서울특별시 용산구 이촌로34길 29 이촌동, 현대한강아파트 관리동",126.956664,37.52363689,50m
동부이촌어린이집,어린이집,서울특별시 용산구 이촌로 193 관리동 1층,126.9683937,37.52159354,50m
삼일어린이집,어린이집,"서울특별시 용산구 한강대로 95 B동 4층 410호(한강로2가,래미안용산)",126.9673947,37.52954731,50m
사랑꿈어린이집,어린이집,서울특별시 용산구 원효로 216 관리동 1층,126.9665272,37.53672264,50m
사랑나무어린이집,어린이집,서울특별시 용산구 후암로 4-8 후암동,126.9788165,37.54635357,50m
맑은숲어린이집,어린이집,서울특별시 용산구 한남대로40길 76 맑은숲어린이집,127.0032951,37.54503816,50m
아모레퍼시픽 서울어린이집,어린이집,서울특별시 용산구 한강대로 100 (주)아모레퍼시픽 2층,126.9686757,37.52879082,50m
꿈나무어린이집,어린이집,서울특별시 용산구 원효로1가 백범로 329 꿈나무어린이집,126.9657927,37.53839694,50m
용문어린이집,어린이집,서울특별시 용산구 효창원로 88 브라운스톤용산 104-103,126.9591211,37.5364163,50m
새순어린이집,어린이집,"서울특별시 용산구 원효로35길 37-7 1,2층",126.9551914,37.53489413,50m
늘봄어린이집,어린이집,서울특별시 용산구 이촌로2가길 122 105동 106호,126.9551678,37.5250472,50m
새둥지어린이집,어린이집,서울특별시 용산구 이촌로65가길 3 110동 101호,126.9719635,37.52231164,50m
푸른꿈어린이집,어린이집,"서울특별시 용산구 백범로 260 효창파크푸르지오아파트 104동, 1층",126.9583324,37.54023934,50m
샘물어린이집,어린이집,서울특별시 용산구 원효로4가 원효로19길 49,126.9545942,37.53421027,50m
순천향대학교서울병원어린이집,어린이집,서울특별시 용산구 독서당로20길 9-5 1층,127.0048128,37.5316743,50m
지구촌어린이집,어린이집,서울특별시 용산구 회나무로28길 13,126.9921972,37.53937967,50m
더프라임어린이집,어린이집,"서울특별시 용산구 원효로90길 11 (원효로1가, 용산더프라임)",126.9697164,37.54039598,50m
푸른숲속어린이집,어린이집,"서울특별시 용산구 효창원로 17 104동 103호(산천동, 리버힐삼성아파트)",126.9508027,37.53487888,50m
노벨어린이집,어린이집,서울특별시 용산구 후암로22길 10 104호(후암동),126.977295,37.55139781,50m
숙명직장어린이집,어린이집,서울특별시 용산구 청파로47길 100 사회교육관 1층(숙명여자대학교 제2캠퍼스),126.9650748,37.54547273,50m
DB손해보험 아이사랑 어린이집,어린이집,서울특별시 용산구 후암로 107 게이트웨이타워 3층,126.9735634,37.55346139,50m
미래어린이집,어린이집,서울특별시 용산구 후암로16나길 13,126.9783088,37.54903665,50m
고운꿈어린이집,어린이집,"서울특별시 용산구 이촌로 181 106동 102호(이촌동, 한강대우아파트)",126.9706619,37.52215363,50m
초록어린이집,어린이집,"서울특별시 용산구 이촌로 181 108동 103호(이촌동, 한강대우아파트)",126.9709378,37.52243121,50m
IBK 참!좋은 어린이집,어린이집,서울특별시 용산구 한남대로 72 4층,127.0070565,37.53506698,50m
생각이자라는어린이집,어린이집,"서울특별시 용산구 이촌로 100-8 103동 102호 (이촌제2동, 동아그린아파트)",126.9582677,37.52425105,50m
즐거운어린이집,어린이집,서울특별시 용산구 이촌로 201 202동 101호(한가람아파트),126.9701554,37.52134981,50m
꼬마성어린이집,어린이집,"서울특별시 용산구 장문로6길 76 1단지 1-3 (동빙고동,용산푸르지오파크타운)",126.9955823,37.52587114,50m
행복한어린이집,어린이집,서울특별시 용산구 원효로 216 신계동49 이편한테마트 1층 101호,126.9656948,37.53596196,50m
청화어린이집,어린이집,"서울특별시 용산구 보광로 14 A동 108호(보광동, 신동아1차아파트)",127.0017389,37.52574417,50m
서빙고어린이집,어린이집,서울특별시 용산구 녹사평대로 66 대우푸르지오파크타운 208동앞,126.9947308,37.52519906,50m
도원삼성어린이집,어린이집,"서울특별시 용산구 새창로 70 112동 104호(도원동, 삼성래미안아파트)",126.9552593,37.5383072,50m
용산구청직장어린이집,어린이집,서울특별시 용산구 녹사평대로 150 종합행정타운 1층 (이태원동),126.9903466,37.53244208,50m
맘앤키즈어린이집,어린이집,"서울특별시 용산구 효창원로 17 107동 105호(산천동, 삼성리버힐아파트)",126.9508027,37.53487888,50m
한강로어린이집,어린이집,서울특별시 용산구 서빙고로 35 111호~113호(용산시티파크1단지),126.9687431,37.52467326,50m
국방부청사어린이집,어린이집,서울특별시 용산구 이태원로 22 국방부 (용산동3가),126.9776714,37.53358278,50m
예꿈어린이집,어린이집,서울특별시 용산구 이촌로 347 1동 102호,126.9896384,37.51903846,50m
늘해랑어린이집,어린이집,"서울특별시 용산구 이촌로29길 21-7 103동 102호(한강로3가, 우림필유아파트)",126.9597476,37.52546826,50m
아이제일어린이집,어린이집,서울특별시 용산구 이태원로49길 24-7 아이제일어린이집 (한남동),126.9992936,37.53746496,50m
하연어린이집,어린이집,서울특별시 용산구 효창원로86라길 31-10 현대휴먼101호 (청파동1가),126.9666963,37.548094,50m
누리터어린이집,어린이집,"서울특별시 용산구 백범로90길 74 102동 102호(문배동, 용산이안아파트)",126.9685765,37.5367195,50m
영주어린이집,어린이집,서울특별시 용산구 두텁바위로 91 (후암동),126.9816898,37.54743044,50m
한남어린이집,어린이집,서울특별시 용산구 대사관로5길 1 (한남동),127.0004722,37.53453304,50m
완두콩어린이집,어린이집,서울특별시 용산구 청파로71길 58 아이딜아파트 101호 (청파동1가),126.9669722,37.54942454,50m
백송어린이집,어린이집,서울특별시 용산구 효창원로76길 25-6,126.9633574,37.54354693,50m
소월어린이집,어린이집,서울특별시 용산구 신흥로18길 3-5,126.9858175,37.54613603,50m
신태양 어린이집,어린이집,서울특별시 용산구 만리재로 178 (서계동),126.9660274,37.55399714,50m
새랑꿈이랑 어린이집,어린이집,서울특별시 용산구 새창로 70 삼성래미안아파트 단지내 (도원동),126.9552593,37.5383072,50m
효창방과후어린이집,어린이집,서울특별시 용산구 효창원로 146-12,126.9629821,37.54123427,50m
새꿈어린이집,어린이집,서울특별시 용산구 후암로57길 26 (동자동),126.9733573,37.55238518,50m
새날어린이집,어린이집,서울특별시 용산구 새창로8길 7 삼성래미안아파트 2단지내 관리동1층 (도원동),126.9554845,37.53910755,50m
솔어린이집,어린이집,서울특별시 용산구 장문로 95 (보광동),127.0001453,37.52630015,50m
반석어린이집,어린이집,서울특별시 용산구 효창원로 178 (청파동3가),126.9626628,37.54361561,50m
꿈밭어린이집,어린이집,서울특별시 용산구 이촌로81길 34 꿈밭어린이집,126.9786745,37.52000465,50m
꿈동이어린이집,어린이집,"서울특별시 용산구 이촌로87길 21 101동 101호(이촌동, 이촌코오롱)",126.9786745,37.52000465,50m
효창어린이집,어린이집,서울특별시 용산구 효창원로69길 14-3 (효창동),126.9606909,37.54156462,50m
이태원삼성어린이집,어린이집,서울특별시 용산구 이태원로27길 34-30,126.9953858,37.53532514,50m
새싹어린이집,어린이집,서울특별시 용산구 원효로67길 13 (원효로2가),126.9638906,37.53756691,50m
엘지유플러스어린이집,어린이집,서울특별시 용산구 한강로3가 한강대로 32,126.9635283,37.52384284,50m
용산교회어린이집,어린이집,서울특별시 용산구 원효로1가 백범로77길 36,126.9655838,37.53982444,50m
상록어린이집,어린이집,서울특별시 용산구 백범로45길 4 (효창동),126.9583035,37.54095702,50m
도원어린이집,어린이집,서울특별시 용산구 효창원로37마길 8 도원어린이집 (용문동),126.9585708,37.53825626,50m
후암어린이집,어린이집,서울특별시 용산구 두텁바위로1길 86 (후암동),126.9758361,37.54765193,50m
해방어린이집,어린이집,서울특별시 용산구 소월로20길 43 해방어린이집 (용산동2가),126.9851444,37.54428402,50m
절제어린이집,어린이집,서울특별시 용산구 후암로57길 57 (동자동),126.9741571,37.55092073,50m
원효어린이집,어린이집,서울특별시 용산구 원효로41가길 14-19,126.9566433,37.53480088,50m
청파어린이집,어린이집,서울특별시 용산구 청파로49길 19 (청파동2가),126.9690391,37.54528251,50m
동빙고어린이집,어린이집,서울특별시 용산구 녹사평대로14길 7 (동빙고동),126.9939889,37.52357987,50m
이촌어린이집,어린이집,서울특별시 용산구 이촌로14길 11-22,126.9544763,37.5270743,50m
이태원어린이집,어린이집,서울특별시 용산구 녹사평대로40나길 38-3,126.9888363,37.53627931,50m
서계어린이집,어린이집,서울특별시 용산구 청파로93길 25 서계어린이집,126.9682985,37.55352595,50m
용산어린이집,어린이집,서울특별시 용산구 한강로2가 한강대로38길 28 용산어린이집,126.9692281,37.52814224,50m
독일인학교,외국인교육기관,서울특별시 용산구 독서당로 129,127.012161,37.53781156,50m
용산국제학교,국제학교,서울특별시 용산구 이태원로 285,127.001136,37.54102695,50m
구립맑은숲 어린이집,어린이집,서울특별시 용산구 한남대로40길76,127.0032951,37.54503816,50m
충신교회어린이집,어린이집,서울특별시 용산구 이촌로64길 72,126.9677697,37.52052298,50m
원유치원,유치원,서울특별시 용산구 이촌로81길 14,126.9768168,37.5196486,50m
대건유치원,유치원,서울특별시 용산구 이촌로81길 38,126.9778555,37.52071271,50m
계성유치원,유치원,서울특별시 용산구 효창원로15길 15,126.9527815,37.53586046,50m
한가람유치원,유치원,서울특별시 용산구 이촌로89길 50,126.981263,37.51952037,50m
강변유치원,유치원,서울특별시 용산구 이촌로84길 9-7,126.9774173,37.51833758,50m
복자유치원,유치원,서울특별시 용산구 후암로34길 21-8,126.9781812,37.55200632,50m
도원유치원,유치원,서울특별시 용산구 새창로12길 11-8,126.9578633,37.53877767,50m
일민유치원,유치원,서울특별시 용산구 효창원로 17,126.9501826,37.53443266,50m
충신유치원,유치원,서울특별시 용산구 이촌로71길 10,126.9729806,37.52049032,50m
한강초교,초등학교,서울특별시 용산구 한강대로14길 9,126.9650994,37.52522617,50m
용산초교,초등학교,서울특별시 용산구 한강대로57길 33,126.9725506,37.53561344,50m
신광초교,초등학교,서울특별시 용산구 청파로 213,126.9703507,37.53859775,50m
삼광초교,초등학교,서울특별시 용산구 두텁바위로1나길 19,126.9765936,37.5477533,50m
금양초교,초등학교,서울특별시 용산구 효창원로 137,126.9618318,37.5409415,50m
후암초교,초등학교,서울특별시 용산구 두텁바위로 140,126.9817258,37.55136541,50m
청파초교(병설유치원),초등학교,서울특별시 용산구 효창원로 228,126.963544,37.5473031,50m
이태원초교,초등학교,서울특별시 용산구 녹사평대로40길 19,126.9876718,37.53647807,50m
남정초교(병설유치원),초등학교,서울특별시 용산구 원효로64길 17-10,126.9648033,37.53567338,50m
한남초교(병설유치원),초등학교,서울특별시 용산구 한남대로 112,127.0055986,37.5392032,50m
서빙고초교(병설유치원),초등학교,서울특별시 용산구 서빙고로51길 14,126.9923004,37.52206964,50m
신용산초교,초등학교,서울특별시 용산구 이촌로 255,126.9753668,37.52062932,50m
원효초교,초등학교,서울특별시 용산구 효창원로13길 38,126.9515471,37.53616243,50m
용암초교,초등학교,서울특별시 용산구 서울특별시 용산구 녹사평대로60길 39,126.9894356,37.54530443,50m
한강중학교,중학교,서울특별시 용산구 녹사평대로 73,126.9920948,37.52410589,-
용산중학교,중학교,서울특별시 용산구 두텁바위로 74,126.9810074,37.54602418,-
용강중학교,중학교,서울특별시 용산구 이촌로65가길 91,126.9757422,37.52131777,-
오산중학교,중학교,서울특별시 용산구 보광로7길 17,126.999543,37.52399083,-
신광여자중학교,중학교,서울특별시 용산구 청파로 263,126.9701859,37.54333696,-
성심여자중학교,중학교,서울특별시 용산구 원효로19길 49,126.9548564,37.53455996,-
선린중학교,중학교,서울특별시 용산구 원효로97길 33-4,126.96504,37.54259313,-
보성여자중학교,중학교,서울특별시 용산구 신흥로3가길 66,126.9849766,37.54251626,-
배문중학교,중학교,서울특별시 용산구 효창원로 258,126.9638913,37.54990529,-
신광초등학교,초등학교,서울특별시 용산구 청파로 263,126.9705618,37.54272438,-
서울후암초등학교,초등학교,서울특별시 용산구 두텁바위로 140,126.9823731,37.55128983,-
서울한남초등학교,초등학교,서울특별시 용산구 한남대로 112,127.0049242,37.53940506,-
서울한강초등학교,초등학교,서울특별시 용산구 한강대로14길 9,126.9650797,37.52521824,-
서울청파초등학교,초등학교,서울특별시 용산구 효창원로 228,126.9642996,37.54798809,-
서울이태원초등학교,초등학교,서울특별시 용산구 녹사평대로40길 19,126.9880656,37.53599878,-
서울원효초등학교,초등학교,서울특별시 용산구 효창원로13길 38,126.9514748,37.53608311,-
서울용암초등학교,초등학교,서울특별시 용산구 녹사평대로60길 39,126.9895487,37.54531616,-
서울용산초등학교,초등학교,서울 용산구 한강대로57길 33,126.9725401,37.53560335,-
서울신용산초등학교,초등학교,서울특별시 용산구 이촌로 255,126.9757911,37.52048615,-
서울서빙고초등학교,초등학교,서울특별시 용산구 서빙고로51길 14,126.9922399,37.52124792,-
서울삼광초등학교,초등학교,서울특별시 용산구 두텁바위로1나길 19,126.9765259,37.54729919,-
서울보광초등학교,초등학교,서울특별시 용산구 우사단로 20,126.996461,37.53265121,-
서울남정초등학교,초등학교,서울특별시 용산구 원효로64길 17-10,126.9650292,37.53650597,-
서울금양초등학교,초등학교,서울특별시 용산구 효창원로 137,126.9611212,37.54081153,-
용산철도고등학교,고등학교,서울특별시 용산구 서빙고로 24,126.9669332,37.52429434,-
학력인정 서울자동차고등학교,고등학교,서울특별시 용산구 백범로45길 15,126.9585048,37.54153864,-
지구촌기독외국인학교,외국인학교,서울특별시 용산구 독서당로 115,127.0117897,37.53674842,-
서울독일학교,외국인학교,서울특별시 용산구 독서당로 123-6,127.011903,37.53734307,-
서울용산국제학교,외국인학교,서울특별시 용산구 이태원로 285,127.001136,37.54102695,-
서울디지텍고등학교,고등학교,서울특별시 용산구 회나무로12길 27,126.9907309,37.53901196,-
선린인터넷고등학교,고등학교,서울특별시 용산구 원효로97길 33-4,126.9671853,37.54275592,-
오산고등학교,고등학교,서울특별시 용산구 보광로7길 17,126.9996063,37.5235115,-
신광여자고등학교,고등학교,서울특별시 용산구 청파로 263,126.9696158,37.54295479,-
성심여자고등학교,고등학교,서울특별시 용산구 원효로19길 49,126.9536889,37.53440454,-
보성여자고등학교,고등학교,서울특별시 용산구 신흥로3가길 66,126.9843077,37.54311984,-
배문고등학교,고등학교,서울특별시 용산구 효창원로 258,126.9646246,37.55000642,-
중경고등학교,고등학교,서울특별시 용산구 이촌로84길 34,126.9756845,37.51777861,-
용산고등학교,고등학교,서울특별시 용산구 두텁바위로 60,126.9798035,37.54565277,-
삼광초등학교,초등학교,서울특별시 용산구 두텁바위로1나길 19,126.976551,37.54775231,50m
후암초등학교,초등학교,서울특별시 용산구 두텁바위로 140,126.9817243,37.55136541,50m
용암초등학교,초등학교,서울특별시 용산구 녹사평대로60길 39,126.9889455,37.54455872,50m
청파초등학교,초등학교,서울특별시 용산구 효창원로 228,126.9635439,37.5473049,50m
원효초등학교,초등학교,서울특별시 용산구 효창원로13길 38,126.9515453,37.53616126,50m
금양초등학교,초등학교,서울특별시 용산구 효창원로 137,126.9618319,37.54094231,50m
용산초등학교,초등학교,서울특별시 용산구 한강대로57길 33,126.9725506,37.53561344,50m
신용산초등학교,초등학교,서울특별시 용산구 이촌로 255,126.9753663,37.52062959,50m
이태원초등학교,초등학교,서울특별시 용산구 녹사평대로40길 19,126.9876727,37.53647771,50m
서빙고초등학교,초등학교,서울특별시 용산구 서빙고로51길 14,126.9923004,37.52206892,50m
보광초등학교,초등학교,서울특별시 용산구 우사단로 20,126.996313,37.532578,50m
용산공업고등학교,고등학교,서울특별시 용산구 서빙고로 24,126.9673581,37.52434158,50m
서울맹학교,특수학교,서울특별시 용산구 한강대로57길 5,126.9725506,37.53561344,50m
서울자동차고등학교,고등학교,서울특별시 용산구 백범로45길 15,126.9584137,37.54149798,50m
효창공원(근린공원),공원,서울특별시 용산구 효창원로 177-18,126.9622909,37.54495741,0m
새나라(어린이공원),공원,,126.976552,37.54791488,0m
삼각지(어린이공원),공원,,126.9754551,37.534406,0m
한마음(어린이공원),공원,,126.9700205,37.528437,0m
늘푸른(어린이공원),공원,서울특별시 용산구 원효로41가길 14-19,126.9565572,37.53479369,0m
청파(어린이공원),공원,,126.9682992,37.553547,0m
꿈나무(소공원),공원,서울특별시 용산구 이촌로 219,126.971702,37.520776,0m
새싹(어린이공원),공원,,126.954469,37.526912,0m
동자(어린이공원),공원,,126.9739452,37.550084,0m
소월길(어린이공원),공원,,126.989227,37.543548,0m
이촌(소공원),공원,,126.979774,37.518755,0m
새푸리(소공원),공원,,126.967826,37.521589,0m
효창(어린이공원),공원,,126.9585555,37.54279367,0m
강변(소공원),공원,,126.975018,37.521325,0m
이태원(어린이공원),공원,,126.989012,37.53840553,0m
도원(어린이공원),공원,,126.955071,37.537199,0m
비상(소공원),공원,,126.971379,37.522317,0m
청탑(소공원),공원,,126.977273,37.51783937,0m
새꿈(어린이공원),공원,,126.974457,37.55254767,0m
사촌(소공원),공원,,126.970908,37.520618,0m
강변복지(소공원),공원,,126.965884,37.521102,0m
돌모루(어린이공원),공원,,126.968524,37.542716,0m
문배(어린이공원),공원,,126.9698073,37.53661975,0m
솔밭(어린이공원),공원,,126.973641,37.537225,0m
신창동(어린이공원),공원,,126.9541101,37.536643,0m
서계가로(어린이공원),공원,,126.964238,37.55127635,0m
응봉(근린공원),공원,,127.0047763,37.544968,0m
기와터(근린공원),공원,,126.969648,37.52581297,0m
서빙고(근린공원),공원,,126.9712832,37.52478697,0m
신계(역사공원),공원,,126.9662814,37.53508032,0m
이태원마을숲(소공원),공원,,126.991487,37.541744,0m
독서당(소공원),공원,,127.012449,37.5345083,0m
한남(소공원),공원,,127.013853,37.537214,0m
이태원어린이놀이터(소공원),공원,,126.989923,37.535647,0m
별님(소공원),공원,서울특별시 용산구 백범로90길 84-19,126.969203,37.538104,0m
한강대로(소공원),공원,,126.9635746,37.52410583,0m
이태원부군당(역사공원),공원,서울특별시 용산구 녹사평대로40다길 37,126.989729,37.53587802,0m
동빙고(근린공원),공원,서울특별시 용산구 이촌로 344-15,126.983958,37.517378,0m
두텁바위(어린이공원),공원,서울특별시 용산구 후암로57길 26-7,126.973744,37.552149,0m
후암(어린이공원),공원,서울특별시 용산구 신흥로20길 35-4,126.9839081,37.547128,0m
해님(소공원),공원,서울특별시 용산구 원효로90길 34,126.9703774,37.539022,0m
달님(소공원),공원,서울특별시 용산구 청파로 205-15,126.969726,37.538368,0m
이촌한우리(소공원),공원,,126.981145,37.5172264,0m
신용산(가로공원),공원,,126.969098,37.529168,0m
용산역,광장,서울특별시 용산구 한강대로23길 55,126.9647415,37.5297718,용산역전면광장
한남초등학교,초등학교,서울특별시 용산구 한남대로 112,127.0055998,37.53920365,한남초 측면 단편보행로 150m
한강초등학교,초등학교,서울특별시 용산구 한강대로14길 9,126.9650994,37.5252055,정문앞 통학로 100m 및 맞은편 통학로 100m
남정초등학교,초등학교,서울특별시 용산구 원효로64길 17-10,126.9648037,37.53567383,"정문앞 통학로 42m 및 우측 주통학로 98m,후문앞 통학로 85m"
신용산역 일대,광장,서울특별시 용산구 한강대로 112,126.9682159,37.52961556,"신용산역 일대 보행로, 용산어린이정원 주출입구 전면 공간, 용산역잔디광장, 용산파크웨이 조성 현장"
게이트웨이타워 일대,광장,서울특별시 용산구 후암로 107,126.973588,37.553464,"게이트웨이타워 일대 보도, 차도 430m"
용산더프라임 일대,광장,서울특별시 용산구 원효로90길 11,126.9697185,37.5403958,용산더프라임 일대 보도 430m
서울역 공항철도 1번출구,광장,서울특별시 용산구 청파로378,126.9716723,37.5563982,서울역광장일부
한국철도공사 서부역 방면,택시승강장,서울특별시 용산구 청파로 388,126.9691101,37.55432707,10m
한국철도공사 서부역 방면,택시승강장,서울특별시 용산구 청파로 388,126.9691101,37.55432707,10m
한국철도공사 서부역 방면,택시승강장,서울특별시 용산구 청파로 388,126.9691101,37.55432707,10m
소화아동병원 앞(서울서부역 건너),택시승강장,서울특별시 용산구 청파로 383,126.9686725,37.55376869,10m
주연빌딩 앞(우리은행),택시승강장,서울특별시 용산구 청파로 345,126.9693542,37.5503049,10m
용산빌딩 건너(더조은참치 앞),택시승강장,서울특별시 용산구 한강대로 276,126.9728973,37.54288252,10m
썬힐환전소 앞(우리은행 한남동지점 좌측),택시승강장,서울특별시 용산구 이태원로 237,126.9995129,37.53626391,10m
폭스바겐 앞,택시승강장,서울특별시 용산구 이태원로 262,127.0016177,37.53791084,10m
꼼데가르송 앞,택시승강장,서울특별시 용산구 이태원로 261,127.0012344,37.53814159,10m
단국빌딩 앞(기업은행),택시승강장,서울특별시 용산구 한남대로 72,127.0070553,37.53506555,10m
순천향대학교병원 앞,택시승강장,서울특별시 용산구 대사관로 59,127.003878,37.53428084,10m
용산가족공원 앞(국립한글박물관 앞),택시승강장,서울특별시 용산구 서빙고로 139,126.9804863,37.5210688,10m
하이브 본사 앞,택시승강장,서울특별시 용산구 한강대로 42,126.9641977,37.52454565,10m
용산역 아이파크몰,택시승강장,서울특별시 용산구 한강대로23길 55,126.9647415,37.5297718,10m
용산역 아이파크몰 건너편,택시승강장,서울특별시 용산구 한강대로 95,126.9666538,37.52881739,10m
용산우체국 앞,택시승강장,서울특별시 용산구 한강대로 118,126.9695106,37.53000901,10m
효창공원역 5번출구 앞,택시승강장,서울특별시 용산구 원효로71길 42-1,126.9627847,37.53832494,10m
삼원빌딩(기업은행 앞),택시승강장,서울특별시 용산구 원효로 142,126.9590997,37.53408217,10m
삼구빌딩(하나은행 앞),택시승강장,서울특별시 용산구 청파로 40,126.9560445,37.53180326,10m
래미안용산더센트럴,광장,한강대로 95,126.9666538,37.52881739,용산역 방면 보행로 150m
서울역 공항철도 3번출구,광장,서울특별시 용산구 청파로378,126.9252912,37.55856739,서울역광장일부
서울역 공항철도 15번출구,광장,서울특별시 용산구 청파로378,126.9693873,37.5536586,서울역광장일부
서울역,버스정류소,,37.553928,126.972535,10m
한강대교북단.LG유플러스,버스정류소,,37.52404994,126.963121,10m
한강대교북단.LG유플러스,버스정류소,,37.52430606,126.9631848,10m
신용산역,버스정류소,,37.527293,126.966207,10m
신용산역,버스정류소,,37.52792049,126.9666192,10m
용산우체국,버스정류소,,37.53149701,126.970235,10m
용산우체국,버스정류소,,37.53205037,126.9705641,10m
삼각지역.전쟁기념관,버스정류소,,37.53518014,126.9736858,10m
삼각지역.전쟁기념관,버스정류소,,37.5359845,126.9741609,10m
숙대입구역,버스정류소,,37.54329563,126.9725378,10m
숙대입구역,버스정류소,,37.54375602,126.9722321,10m
갈월동,버스정류소,,37.5509756,126.9722373,10m
갈월동,버스정류소,,37.54953372,126.9717082,10m
남영역.민주화운동기념관,버스정류소,,37.54200692,126.9719272,10m
남영역.민주화운동기념관,버스정류소,,37.541823,126.972069,10m
신용산역3번출구,버스정류소,,37.52888957,126.9673498,10m
서울드래곤시티,버스정류소,,37.53215669,126.9630604,10m
용산역3번출구.용산차고지,버스정류소,,37.53180791,126.9642146,10m
한강대교북단,버스정류소,,37.52496899,126.9635707,10m
서계동.서울역공항철도15번출구,버스정류소,,37.5524743,126.9693405,10m
서계동,버스정류소,,37.5516705,126.969222,10m
청파동,버스정류소,,37.54899162,126.970122,10m
청파시장,버스정류소,,37.54867903,126.9698626,10m
숙대입구역.청파동주민센터,버스정류소,,37.54538125,126.9707772,10m
숙대입구역.청파동주민센터,버스정류소,,37.54548616,126.9704189,10m
남영역.민주화운동기념관,버스정류소,,37.540813,126.971032,10m
남영역.민주화운동기념관,버스정류소,,37.54057027,126.9706761,10m
용산전자상가17동,버스정류소,,37.53377926,126.9660271,10m
용산전자상가19동,버스정류소,,37.53351349,126.9657072,10m
용산전자상가10동,버스정류소,,37.5332725,126.9619641,10m
용산전자상가12동,버스정류소,,37.53305741,126.962169,10m
용산전자상가.전자랜드,버스정류소,,37.53277906,126.9583252,10m
용산전자상가.전자랜드,버스정류소,,37.53305612,126.9583364,10m
원효대교북단,버스정류소,,37.53198537,126.956111,10m
용산경찰서,버스정류소,,37.54050321,126.9691858,10m
용산경찰서,버스정류소,,37.53999946,126.9690615,10m
용산꿈나무종합타운.원효로우체국,버스정류소,,37.5386139,126.9669291,10m
용산e편한세상,버스정류소,,37.53746206,126.9654678,10m
